0,AMD Ryzen 5 5600X,No image,AM4,6,AMD,3.7 GHz,4.6 GHz
1,AMD Ryzen 7 5800X,No image,AM4,8,AMD,3.8 GHz,4.7 GHz
2,Intel Core i7-12700K,No image,LGA1700,12,Intel,3.6 GHz,5 GHz
3,AMD Ryzen 9 5900X,No image,AM4,12,AMD,3.7 GHz,4.8 GHz
4,Intel Core i5-12600K,No image,LGA1700,10,Intel,3.7 GHz,4.9 GHz
5,Intel Core i5-12400F,No image,LGA1700,6,Intel,2.5 GHz,4.4 GHz
6,Intel Core i9-12900K,No image,LGA1700,16,Intel,3.2 GHz,5.2 GHz
7,AMD Ryzen 5 5600G,No image,AM4,6,AMD,3.9 GHz,4.4 GHz
8,AMD Ryzen 5 3600,No image,AM4,6,AMD,3.6 GHz,4.2 GHz
9,AMD Ryzen 5 5600,No image,AM4,6,AMD,3.5 GHz,4.4 GHz
10,AMD Ryzen 9 5950X,No image,AM4,16,AMD,3.4 GHz,4.9 GHz
11,AMD Ryzen 7 5700X,No image,AM4,8,AMD,3.4 GHz,4.6 GHz
12,Intel Core i3-12100F,No image,LGA1700,4,Intel,3.3 GHz,4.3 GHz
13,Intel Core i5-10400F,No image,LGA1200,6,Intel,2.9 GHz,4.3 GHz
14,Intel Core i3-10100F,No image,LGA1200,4,Intel,3.6 GHz,4.3 GHz
15,Intel Core i5-12600KF,No image,LGA1700,10,Intel,3.7 GHz,4.9 GHz
16,AMD Ryzen 5 5500,No image,AM4,6,AMD,3.6 GHz,4.2 GHz
17,Intel Core i9-12900KS,No image,LGA1700,16,Intel,3.4 GHz,5.5 GHz
18,AMD Ryzen 7 5800X3D,No image,AM4,8,AMD,3.4 GHz,4.5 GHz
19,Intel Core i7-11700K,No image,LGA1200,8,Intel,3.6 GHz,5 GHz
20,AMD Ryzen 5 4500,No image,AM4,6,AMD,3.6 GHz,4.1 GHz
21,Intel Core i5-12400,No image,LGA1700,6,Intel,2.5 GHz,4.4 GHz
22,Intel Core i7-12700F,No image,LGA1700,12,Intel,2.1 GHz,4.9 GHz
23,AMD Ryzen 7 5700G,No image,AM4,8,AMD,3.8 GHz,4.6 GHz
24,AMD Ryzen 7 3700X,No image,AM4,8,AMD,3.6 GHz,4.4 GHz
25,Intel Core i5-11400F,No image,LGA1200,6,Intel,2.6 GHz,4.4 GHz
26,Intel Core i7-12700KF,No image,LGA1700,12,Intel,3.6 GHz,5 GHz
27,AMD Threadripper 3990X,No image,sTRX4,64,AMD,2.9 GHz,4.3 GHz
28,Intel Core i9-11900K,No image,LGA1200,8,Intel,3.5 GHz,5.3 GHz
29,Intel Core i9-12900KF,No image,LGA1700,16,Intel,3.2 GHz,5.2 GHz
30,Intel Core i3-12100,No image,LGA1700,4,Intel,3.3 GHz,4.3 GHz
31,Intel Core i5-11600K,No image,LGA1200,6,Intel,3.9 GHz,4.9 GHz
32,Intel Core i7-10700K,No image,LGA1200,8,Intel,3.8 GHz,5.1 GHz
33,AMD Ryzen 5 2600,No image,AM4,6,AMD,3.4 GHz,3.9 GHz
34,Intel Core i9-10900K,No image,LGA1200,10,Intel,3.7 GHz,5.3 GHz
35,Intel Core i7-12700,No image,LGA1700,12,Intel,2.1 GHz,4.9 GHz
36,AMD Ryzen 7 3800X,No image,AM4,8,AMD,3.9 GHz,4.5 GHz
37,Intel Core i7-9700K,No image,LGA1151,8,Intel,3.6 GHz,4.9 GHz
38,Intel Core i5-10400,No image,LGA1200,6,Intel,2.9 GHz,4.3 GHz
39,AMD Ryzen 9 3900X,No image,AM4,12,AMD,3.8 GHz,4.6 GHz
40,Intel Core i3-10105F,No image,LGA1200,4,Intel,3.7 GHz,4.4 GHz
41,Intel Core i5-12600,No image,LGA1700,6,Intel,3.3 GHz,4.8 GHz
42,AMD Ryzen 5 3600X,No image,AM4,6,AMD,3.8 GHz,4.4 GHz
43,AMD Ryzen 7 2700X,No image,AM4,8,AMD,3.7 GHz,4.3 GHz
44,Intel Core i9-9900K,No image,LGA1151,8,Intel,3.6 GHz,5 GHz
45,Intel Core i5-9400F,No image,LGA1151,6,Intel,2.9 GHz,4.1 GHz
46,Intel Core i7-8700K,No image,LGA1151,6,Intel,3.7 GHz,4.7 GHz
47,Intel Core i5-11400,No image,LGA1200,6,Intel,2.6 GHz,4.4 GHz
48,Intel Core i7-10700F,No image,LGA1200,8,Intel,2.9 GHz,4.8 GHz
49,AMD Ryzen 5 4600G,No image,AM4,6,AMD,3.7 GHz,4.2 GHz
50,AMD Ryzen 3 3200G,No image,AM4,4,AMD,3.6 GHz,4 GHz
51,AMD Ryzen 3 3100,No image,AM4,4,AMD,3.6 GHz,3.9 GHz
52,Intel Core i5-10600K,No image,LGA1200,6,Intel,4.1 GHz,4.8 GHz
53,Intel Core i5-12500,No image,LGA1700,6,Intel,3 GHz,4.6 GHz
54,Intel Core i3-10100,No image,LGA1200,4,Intel,3.6 GHz,4.3 GHz
55,Intel Core i9-10850K,No image,LGA1200,10,Intel,3.6 GHz,5.2 GHz
56,Intel Core i7-10700KF,No image,LGA1200,8,Intel,3.8 GHz,5.1 GHz
57,AMD Ryzen 3 4100,No image,AM4,4,AMD,3.8 GHz,4 GHz
58,Intel Core i7-7700K,No image,LGA1151,4,Intel,4.2 GHz,4.5 GHz
59,Intel Core i7-6700K,No image,LGA1151,4,Intel,4 GHz,4.2 GHz
60,Intel Core i5-9600K,No image,LGA1151,6,Intel,3.7 GHz,4.6 GHz
61,AMD Ryzen 5 2600X,No image,AM4,6,AMD,3.6 GHz,4.2 GHz
62,Intel Core i5-10600KF,No image,LGA1200,6,Intel,4.1 GHz,4.8 GHz
63,Intel Core i7-11700KF,No image,LGA1200,8,Intel,3.6 GHz,5 GHz
64,Intel Core i7-4790K,No image,LGA1150,4,Intel,4 GHz,4.4 GHz
65,AMD Ryzen 9 3950X,No image,AM4,16,AMD,3.5 GHz,4.7 GHz
66,AMD Threadripper 3960X,No image,sTRX4,24,AMD,3.8 GHz,4.5 GHz
67,AMD Threadripper 3970X,No image,sTRX4,32,AMD,3.7 GHz,4.5 GHz
68,AMD Ryzen 5 1600 (14nm),No image,AM4,6,AMD,3.2 GHz,3.6 GHz
69,Intel Core i5-11600KF,No image,LGA1200,6,Intel,3.9 GHz,4.9 GHz
70,Intel Core i9-10900KF,No image,LGA1200,10,Intel,3.7 GHz,5.3 GHz
71,AMD Ryzen 5 3400G,No image,AM4,4,AMD,3.7 GHz,4.2 GHz
72,Intel Core i7-8700,No image,LGA1151,6,Intel,3.2 GHz,4.6 GHz
73,Intel Core i5-8400,No image,LGA1151,6,Intel,2.8 GHz,4 GHz
74,Intel Core i3-10105,No image,LGA1200,4,Intel,3.7 GHz,4.4 GHz
75,Intel Core i9-12900,No image,LGA1700,16,Intel,2.4 GHz,5.1 GHz
76,Intel Core i7-11700F,No image,LGA1200,8,Intel,2.5 GHz,4.9 GHz
77,Intel Core i7-10700,No image,LGA1200,8,Intel,2.9 GHz,4.8 GHz
78,Intel Core i9-12900F,No image,LGA1700,16,Intel,2.4 GHz,5.1 GHz
79,Intel Core i5-6600K,No image,LGA1151,4,Intel,3.5 GHz,3.9 GHz
80,AMD Ryzen 3 2200G,No image,AM4,4,AMD,3.5 GHz,3.7 GHz
81,Intel Core i7-7700,No image,LGA1151,4,Intel,3.6 GHz,4.2 GHz
82,Intel Core i9-10980XE,No image,LGA2066,18,Intel,3 GHz,4.8 GHz
83,Intel Core i9-9900KF,No image,LGA1151,8,Intel,3.6 GHz,5 GHz
84,Intel Core i3-9100F,No image,LGA1151,4,Intel,3.6 GHz,4.2 GHz
85,AMD Ryzen 7 2700,No image,AM4,8,AMD,3.2 GHz,4.1 GHz
86,Intel Core i7-6700,No image,LGA1151,4,Intel,3.4 GHz,4 GHz
87,Intel Core i5-8600K,No image,LGA1151,6,Intel,3.6 GHz,4.3 GHz
88,Intel Core i5-6500,No image,LGA1151,4,Intel,3.2 GHz,3.6 GHz
89,Intel Core i5-4690K,No image,LGA1150,4,Intel,3.5 GHz,3.9 GHz
90,AMD Ryzen 5 1600X,No image,AM4,6,AMD,3.6 GHz,4 GHz
91,Intel Core i7-4770K,No image,LGA1150,4,Intel,3.5 GHz,3.9 GHz
92,AMD Ryzen 5 1600 (12nm),No image,AM4,6,AMD,3.2 GHz,3.6 GHz
