0,EVGA XC GAMING,GeForce RTX 3060,12 GB,1320 MHz,1882 MHz,EVGA
1,MSI MECH 2X,Radeon RX 6600,8 GB,1626 MHz,2491 MHz,MSI
2,EVGA FTW3 ULTRA GAMING,GeForce RTX 3070 Ti,8 GB,1575 MHz,1860 MHz,EVGA
3,MSI VENTUS 2X,GeForce RTX 3060,12 GB,1320 MHz,1777 MHz,MSI
4,EVGA FTW3 ULTRA GAMING,GeForce RTX 3090 Ti,24 GB,1560 MHz,1920 MHz,EVGA
5,EVGA FTW3 ULTRA GAMING LHR,GeForce RTX 3080 10GB LHR,10 GB,1440 MHz,1800 MHz,EVGA
6,Asus TUF GAMING OC,GeForce RTX 3070 Ti,8 GB,1575 MHz,1815 MHz,Asus
7,MSI VENTUS XS OC,GeForce GTX 1660 SUPER,6 GB,1530 MHz,1815 MHz,MSI
8,EVGA FTW3 ULTRA GAMING LE iCX3,GeForce RTX 3080 Ti,12 GB,1365 MHz,1800 MHz,EVGA
9,MSI MECH 2X OC,Radeon RX 6600 XT,8 GB,1968 MHz,2602 MHz,MSI
10,EVGA FTW3 ULTRA GAMING,GeForce RTX 3090,24 GB,1395 MHz,1800 MHz,EVGA
11,MSI VENTUS 2X OCV1,GeForce RTX 3060 Ti LHR,8 GB,1410 MHz,1695 MHz,MSI
12,MSI VENTUS 3X OC,GeForce RTX 3060,12 GB,1320 MHz,1807 MHz,MSI
13,MSI VENTUS 3X PLUS OC,GeForce RTX 3080 12GB LHR,12 GB,1260 MHz,1740 MHz,MSI
14,NVIDIA Founders Edition,GeForce RTX 3060 Ti,8 GB,1410 MHz,1670 MHz,NVIDIA
15,EVGA XC GAMING,GeForce RTX 3050 8GB,8 GB,1550 MHz,1845 MHz,EVGA
16,Gigabyte Vision OC,GeForce RTX 3060 Ti,8 GB,1665 MHz,1755 MHz,Gigabyte
17,MSI VENTUS 2X OC,GeForce RTX 3070,8 GB,1500 MHz,1755 MHz,MSI
18,EVGA KO ULTRA GAMING,GeForce RTX 2060,6 GB,1365 MHz,1755 MHz,EVGA
19,PNY VCQGV100-PB,Quadro GV100,32 GB,1200 MHz,1447 MHz,PNY
20,XFX Speedster SWFT 210,Radeon RX 6600,8 GB,1626 MHz,2491 MHz,XFX
21,Gigabyte GAMING OC,GeForce RTX 3080 Ti,12 GB,1365 MHz,1770 MHz,Gigabyte
22,Asus STRIX GAMING OC,GeForce RTX 3090,24 GB,1395 MHz,1890 MHz,Asus
23,Gigabyte GAMING OC,GeForce RTX 3070 Ti,8 GB,1575 MHz,1830 MHz,Gigabyte
24,MSI GAMING X,GeForce RTX 3060,12 GB,1320 MHz,1837 MHz,MSI
25,NVIDIA Founders Edition,GeForce RTX 3090 Ti,24 GB,1560 MHz,1860 MHz,NVIDIA
26,EVGA SC ULTRA GAMING,GeForce GTX 1660 SUPER,6 GB,1530 MHz,1830 MHz,EVGA
27,EVGA SC ULTRA GAMING,GeForce GTX 1650 SUPER,4 GB,1530 MHz,1755 MHz,EVGA
28,MSI GAMING X TRIO,GeForce RTX 3080 Ti,12 GB,1365 MHz,1770 MHz,MSI
29,Asus DUAL EVO OC,GeForce RTX 2060,6 GB,1365 MHz,1785 MHz,Asus
30,MSI GTX 1050 Ti 4GT OC,GeForce GTX 1050 Ti,4 GB,1341 MHz,1455 MHz,MSI
31,MSI GAMING Z TRIO,GeForce RTX 3070 LHR,8 GB,1500 MHz,1845 MHz,MSI
32,NVIDIA Founders Edition,GeForce RTX 3070,8 GB,1500 MHz,1730 MHz,NVIDIA
33,MSI SUPRIM X,GeForce RTX 3090 Ti,24 GB,1560 MHz,1965 MHz,MSI
34,EVGA FTW3 ULTRA GAMING,GeForce RTX 3080 10GB,10 GB,1440 MHz,1800 MHz,EVGA
35,EVGA SC GAMING,GeForce RTX 2060,6 GB,1365 MHz,1710 MHz,EVGA
36,Gigabyte Vision OC,GeForce RTX 3070 Ti,8 GB,1575 MHz,1830 MHz,Gigabyte
37,NVIDIA Founders Edition,GeForce RTX 3080 10GB,10 GB,1440 MHz,1710 MHz,NVIDIA
38,Asus STRIX LC GAMING OC,GeForce RTX 3090 Ti,24 GB,1560 MHz,1980 MHz,Asus
39,Gigabyte GAMING OC,Radeon RX 6900 XT,16 GB,1825 MHz,2285 MHz,Gigabyte
40,PowerColor Red Devil,Radeon RX 6700 XT,12 GB,2321 MHz,2622 MHz,PowerColor
41,Asus ROG STRIX GAMING OC,GeForce RTX 3080 Ti,12 GB,1365 MHz,1845 MHz,Asus
42,Asus ROG STRIX WHITE OC,GeForce RTX 3090,24 GB,1395 MHz,1890 MHz,Asus
43,MSI VENTUS GP OC,GeForce RTX 2060,6 GB,1365 MHz,1710 MHz,MSI
44,MSI GAMING X TRIO,GeForce RTX 3070 Ti,8 GB,1575 MHz,1830 MHz,MSI
45,Gigabyte EAGLE OC Rev 2.0,GeForce RTX 3060,12 GB,1320 MHz,1807 MHz,Gigabyte
46,MSI MECH 2X OC,Radeon RX 6500 XT,4 GB,2310 MHz,2825 MHz,MSI
47,Asus TUF GAMING OC,GeForce RTX 3080 12GB LHR,12 GB,1260 MHz,1815 MHz,Asus
48,MSI GAMING Z TRIO,GeForce RTX 3080 12GB LHR,12 GB,1260 MHz,1815 MHz,MSI
49,MSI VENTUS 3X OC,GeForce RTX 3070 Ti,8 GB,1575 MHz,1800 MHz,MSI
50,EVGA XC3 ULTRA GAMING iCX3,GeForce RTX 3080 Ti,12 GB,1365 MHz,1725 MHz,EVGA
51,PowerColor Fighter,Radeon RX 6600 XT,8 GB,1968 MHz,2589 MHz,PowerColor
52,Asus TUF GAMING OC,GeForce RTX 3080 Ti,12 GB,1365 MHz,1695 MHz,Asus
53,Gigabyte VISION OC Rev 2.0,GeForce RTX 3070 LHR,8 GB,1500 MHz,1815 MHz,Gigabyte
54,ASRock Challenger D,Radeon RX 6700 XT,12 GB,2321 MHz,2581 MHz,ASRock
55,Gigabyte GAMING OC Rev 2.0,GeForce RTX 3070 LHR,8 GB,1500 MHz,1815 MHz,Gigabyte
58,EVGA XC3 ULTRA GAMING,GeForce RTX 3080 10GB,10 GB,1440 MHz,1755 MHz,EVGA
57,ASRock Phantom Gaming D OC,Radeon RX 6900 XT,16 GB,1925 MHz,2340 MHz,ASRock
58,Gigabyte GAMING OC,Radeon RX 6800 XT,16 GB,1825 MHz,2285 MHz,Gigabyte
59,Zotac GAMING Twin Edge OC,GeForce RTX 3050 8GB,8 GB,1550 MHz,1807 MHz,Zotac
60,NVIDIA Founders Edition,GeForce RTX 3070 Ti,8 GB,1575 MHz,1770 MHz,NVIDIA
61,MSI VENTUS 3X OC,GeForce RTX 3080 Ti,12 GB,1365 MHz,1695 MHz,MSI
64,PowerColor Fighter,Radeon RX 6600,8 GB,1626 MHz,2491 MHz,PowerColor
63,Gigabyte GAMING OC,GeForce RTX 3070,8 GB,1500 MHz,1815 MHz,Gigabyte
64,Gigabyte Vision OC,GeForce RTX 3080 Ti,12 GB,1365 MHz,1770 MHz,Gigabyte
65,MSI SUPRIM X,GeForce RTX 3080 Ti,12 GB,1365 MHz,1845 MHz,MSI
68,EVGA XC BLACK GAMING,GeForce RTX 3060,12 GB,1320 MHz,1777 MHz,EVGA
67,EVGA XC3 ULTRA GAMING,GeForce RTX 3070 Ti,8 GB,1575 MHz,1815 MHz,EVGA
68,MSI GAMING X TRIO,GeForce RTX 3090 Ti,24 GB,1560 MHz,1920 MHz,MSI
69,Gigabyte OC,GeForce GTX 1660 Ti,6 GB,1500 MHz,1800 MHz,Gigabyte
70,Gigabyte GAMING OC Rev 2.0,GeForce RTX 3060,12 GB,1320 MHz,1837 MHz,Gigabyte
71,MSI D6 VENTUS XS OC,GeForce GTX 1650 G6,4 GB,1410 MHz,1620 MHz,MSI
72,Zotac GAMING Twin Edge OC,GeForce RTX 3060 Ti LHR,8 GB,1410 MHz,1695 MHz,Zotac
73,XFX Speedster QICK 210,Radeon RX 6500 XT,4 GB,2310 MHz,2825 MHz,XFX
76,Sapphire PULSE,Radeon RX 6600,8 GB,1626 MHz,2491 MHz,Sapphire
75,Zotac GAMING Twin Edge OC,GeForce RTX 3060,12 GB,1320 MHz,1807 MHz,Zotac
76,EVGA FTW3 ULTRA GAMING,GeForce RTX 3080 12GB LHR,12 GB,1260 MHz,1800 MHz,EVGA
77,Gigabyte EAGLE OC,GeForce RTX 3050 8GB,8 GB,1550 MHz,1792 MHz,Gigabyte
78,EVGA XC GAMING,GeForce RTX 2060,12 GB,1365 MHz,1680 MHz,EVGA
79,MSI VENTUS GP OC,GeForce RTX 2060 SUPER,8 GB,1470 MHz,1665 MHz,MSI
80,EVGA XC3 ULTRA GAMING iCX3,GeForce RTX 3070 LHR,8 GB,1500 MHz,1770 MHz,EVGA
81,Asus ROG STRIX GAMING OC V2,GeForce RTX 3060 Ti LHR,8 GB,1410 MHz,1890 MHz,Asus
82,XFX Speedster SWFT 210,Radeon RX 6600 XT,8 GB,2092 MHz,2589 MHz,XFX
83,XFX Speedster SWFT 309,Radeon RX 6700 XT,12 GB,2321 MHz,2581 MHz,XFX
84,MSI VENTUS 2X OC,GeForce RTX 3070 LHR,8 GB,1500 MHz,1755 MHz,MSI
85,Asus ROG STRIX GAMING OC,GeForce RTX 3080 12GB LHR,12 GB,1260 MHz,1890 MHz,Asus
86,MSI VENTUS 3X OC,GeForce RTX 3060 Ti LHR,8 GB,1410 MHz,1695 MHz,MSI
89,Asus TUF GAMING OC,GeForce RTX 3070,8 GB,1500 MHz,1845 MHz,Asus
88,Gigabyte EAGLE,Radeon RX 6600,8 GB,1626 MHz,2491 MHz,Gigabyte
89,NVIDIA Founders Edition,GeForce RTX 3080 Ti,12 GB,1370 MHz,1670 MHz,NVIDIA
90,Sapphire PULSE,Radeon RX 6700,10 GB,1941 MHz,2495 MHz,Sapphire
91,PowerColor Red Dragon OC,Radeon RX 6800 XT,16 GB,1825 MHz,2310 MHz,PowerColor
92,PNY XLR8 Gaming REVEL EPIC-X RGB,GeForce RTX 3060,12 GB,1320 MHz,,PNY
