0,Corsair Vengeance LPX 16 GB,2 x 8GB,DDR4-3200,Corsair
1,Corsair Vengeance RGB Pro 32 GB,2 x 16GB,DDR4-3600,Corsair
2,Corsair Vengeance RGB Pro 16 GB,2 x 8GB,DDR4-3200,Corsair
3,G.Skill Ripjaws V 32 GB,2 x 16GB,DDR4-3200,G.Skill
4,Corsair Vengeance LPX 32 GB,2 x 16GB,DDR4-3600,Corsair
5,G.Skill Ripjaws V 16 GB,2 x 8GB,DDR4-3200,G.Skill
6,Corsair Vengeance RGB Pro 16 GB,2 x 8GB,DDR4-3200,Corsair
7,Corsair Vengeance LPX 16 GB,2 x 8GB,DDR4-3600,Corsair
8,Silicon Power GAMING 16 GB,2 x 8GB,DDR4-3200,Silicon Power
9,Corsair Vengeance 32 GB,2 x 16GB,DDR5-5600,Corsair
10,Corsair Vengeance RGB Pro SL 32 GB,2 x 16GB,DDR4-3600,Corsair
11,G.Skill Trident Z RGB 16 GB,2 x 8GB,DDR4-3600,G.Skill
12,TEAMGROUP T-Force Vulcan Z 16 GB,2 x 8GB,DDR4-3200,TEAMGROUP
13,G.Skill Trident Z Neo 32 GB,2 x 16GB,DDR4-3600,G.Skill
14,Corsair Vengeance LPX 32 GB,2 x 16GB,DDR4-3200,Corsair
15,Corsair Dominator Platinum 128 GB,8 x 16GB,DDR4-3200,Corsair
16,Corsair Dominator Platinum RGB 32 GB,2 x 16GB,DDR5-6200,Corsair
17,G.Skill Ripjaws V 16 GB,2 x 8GB,DDR4-3600,G.Skill
18,G.Skill Trident Z RGB 32 GB,2 x 16GB,DDR4-3600,G.Skill
19,Corsair Vengeance RGB Pro 16 GB,2 x 8GB,DDR4-3600,Corsair
20,TEAMGROUP T-Force Delta RGB 16 GB,2 x 8GB,DDR4-3600,TEAMGROUP
21,G.Skill Ripjaws V 32 GB,2 x 16GB,DDR4-3600,G.Skill
22,G.Skill Trident Z RGB 64 GB,2 x 32GB,DDR4-3600,G.Skill
23,Kingston FURY Beast 16 GB,2 x 8GB,DDR4-3200,Kingston
24,Corsair Vengeance RGB Pro 32 GB,4 x 8GB,DDR4-3200,Corsair
25,G.Skill Trident Z5 RGB 32 GB,2 x 16GB,DDR5-6000,G.Skill
26,Silicon Power GAMING 32 GB,2 x 16GB,DDR4-3200,Silicon Power
27,Corsair Vengeance LPX 16 GB,2 x 8GB,DDR4-3200,Corsair
28,TEAMGROUP T-Force Vulcan Z 16 GB,2 x 8GB,DDR4-3000,TEAMGROUP
29,G.Skill Ripjaws V 16 GB,2 x 8GB,DDR4-3600,G.Skill
30,Corsair Vengeance LPX 64 GB,2 x 32GB,DDR4-3200,Corsair
31,Corsair Vengeance RGB Pro 32 GB,4 x 8GB,DDR4-3200,Corsair
32,Corsair Dominator Platinum RGB 64 GB,2 x 32GB,DDR5-5200,Corsair
33,Silicon Power XPOWER Turbine 16 GB,2 x 8GB,DDR4-3200,Silicon Power
34,Corsair Dominator Platinum RGB 32 GB,2 x 16GB,DDR5-6600,Corsair
35,Corsair Vengeance LPX 16 GB,2 x 8GB,DDR4-3600,Corsair
36,G.Skill Aegis 16 GB,2 x 8GB,DDR4-3200,G.Skill
37,Corsair Vengeance RGB Pro 32 GB,2 x 16GB,DDR4-3200,Corsair
38,TEAMGROUP T-Force Vulcan Z 32 GB,2 x 16GB,DDR4-3200,TEAMGROUP
39,Corsair Vengeance 32 GB,2 x 16GB,DDR5-5200,Corsair
40,G.Skill Trident Z RGB 16 GB,2 x 8GB,DDR4-3200,G.Skill
41,Crucial Ballistix 16 GB,2 x 8GB,DDR4-3200,Crucial
42,G.Skill Trident Z Royal 32 GB,2 x 16GB,DDR4-3600,G.Skill
43,TEAMGROUP T-Force Delta RGB 32 GB,2 x 16GB,DDR4-3600,TEAMGROUP
44,Corsair Vengeance RGB RT 32 GB,2 x 16GB,DDR4-3600,Corsair
45,G.Skill Trident Z5 RGB 32 GB,2 x 16GB,DDR5-6400,G.Skill
46,G.Skill Trident Z RGB 32 GB,2 x 16GB,DDR4-3200,G.Skill
47,Corsair Vengeance RGB Pro 64 GB,4 x 16GB,DDR4-3600,Corsair
48,Kingston FURY Beast RGB 16 GB,2 x 8GB,DDR4-3200,Kingston
49,Corsair Vengeance RGB Pro 16 GB,2 x 8GB,DDR4-3600,Corsair
50,TEAMGROUP T-Force Delta RGB 16 GB,2 x 8GB,DDR4-3600,TEAMGROUP
51,G.Skill Trident Z RGB 128 GB,4 x 32GB,DDR4-4000,G.Skill
52,Kingston FURY Beast 32 GB,2 x 16GB,DDR5-4800,Kingston
53,G.Skill Trident Z5 RGB 64 GB,2 x 32GB,DDR5-6000,G.Skill
54,ADATA XPG GAMMIX D20 16 GB,2 x 8GB,DDR4-3200,ADATA
55,Corsair Vengeance RGB Pro 32 GB,2 x 16GB,DDR4-3200,Corsair
56,TEAMGROUP T-Force Delta RGB 16 GB,2 x 8GB,DDR4-3200,TEAMGROUP
57,Kingston FURY Beast 16 GB,2 x 8GB,DDR5-4800,Kingston
58,TEAMGROUP T-Force Delta RGB 16 GB,2 x 8GB,DDR4-3200,TEAMGROUP
59,Corsair Vengeance 32 GB,2 x 16GB,DDR5-4800,Corsair
60,Corsair Vengeance LPX 8 GB,1 x 8GB,DDR4-2400,Corsair
61,G.Skill Ripjaws V 64 GB,2 x 32GB,DDR4-3600,G.Skill
62,G.Skill Ripjaws V 32 GB,2 x 16GB,DDR4-4000,G.Skill
63,G.Skill Trident Z RGB 32 GB,2 x 16GB,DDR4-4400,G.Skill
64,Kingston FURY Beast 32 GB,2 x 16GB,DDR5-5200,Kingston
65,Corsair Dominator Platinum RGB 64 GB,2 x 32GB,DDR5-5600,Corsair
66,Corsair Vengeance LPX 32 GB,4 x 8GB,DDR4-3600,Corsair
67,Patriot Viper Steel 16 GB,2 x 8GB,DDR4-3200,Patriot
68,G.Skill Ripjaws V 32 GB,2 x 16GB,DDR4-3600,G.Skill
69,G.Skill Trident Z Neo 16 GB,2 x 8GB,DDR4-3600,G.Skill
70,Corsair Vengeance LPX 32 GB,2 x 16GB,DDR4-3600,Corsair
71,Corsair Vengeance 64 GB,2 x 32GB,DDR5-5200,Corsair
72,Crucial Ballistix 32 GB,2 x 16GB,DDR4-3200,Crucial
73,G.Skill Trident Z RGB 32 GB,2 x 16GB,DDR4-3600,G.Skill
74,Kingston HyperX Fury 16 GB,2 x 8GB,DDR4-3200,Kingston
75,Corsair Dominator Platinum RGB 32 GB,4 x 8GB,DDR4-3600,Corsair
76,Corsair Vengeance RGB Pro 32 GB,4 x 8GB,DDR4-3600,Corsair
77,Corsair Vengeance LPX 16 GB,2 x 8GB,DDR4-3200,Corsair
78,G.Skill Trident Z Neo 64 GB,4 x 16GB,DDR4-3600,G.Skill
79,Corsair Vengeance 16 GB,2 x 8GB,DDR3-1600,Corsair
80,Kingston ValueRAM 1 GB,1 x 1GB,DDR2-667,Kingston
81,Corsair Dominator Platinum RGB 32 GB,2 x 16GB,DDR5-5200,Corsair
82,OLOy MD4U083216BJDA 16 GB,2 x 8GB,DDR4-3200,OLOy
83,Patriot Viper Steel 8 GB,2 x 4GB,DDR4-3200,Patriot
84,TEAMGROUP T-Force Dark Za 16 GB,2 x 8GB,DDR4-3600,TEAMGROUP
85,TEAMGROUP T-Create Classic 16 GB,2 x 8GB,DDR4-3200,TEAMGROUP
86,G.Skill Trident Z5 RGB 64 GB,2 x 32GB,DDR5-6000,G.Skill
87,Kingston Server Premier 64 GB,1 x 64GB,DDR4-3200,Kingston
88,Silicon Power XPOWER Turbine 32 GB,2 x 16GB,DDR4-3200,Silicon Power
89,G.Skill Aegis 16 GB,2 x 8GB,DDR4-3000,G.Skill
90,Corsair Vengeance RGB Pro 64 GB,2 x 32GB,DDR4-3200,Corsair
91,TEAMGROUP T-Force Delta RGB 32 GB,2 x 16GB,DDR4-3600,TEAMGROUP
92,OLOy ND4U1632161DJ0DA 32 GB,2 x 16GB,DDR4-3200,OLOy
93,ADATA XPG SPECTRIX D60G 16 GB,2 x 8GB,DDR4-3200,ADATA
94,TEAMGROUP T-Force Vulcan Z 16 GB,2 x 8GB,DDR4-3200,TEAMGROUP
95,Silicon Power XPOWER Gaming 16 GB,2 x 8GB,DDR4-3200,Silicon Power
96,Corsair Dominator Platinum RGB 32 GB,2 x 16GB,DDR5-6200,Corsair
97,G.Skill TridentZ RGB 64 GB,2 x 32GB,DDR4-4600,G.Skill
98,G.Skill Trident Z RGB 32 GB,4 x 8GB,DDR4-3200,G.Skill
99,TEAMGROUP TED48G2400C1601 8 GB,1 x 8GB,DDR4-2400,TEAMGROUP
